Id_cliente;venta_total;costo_unitario;cant_unidades;filial_id;dia_id;id;nota;atencion_amable;nivel_2;rango_edad;codigo_del_vendedor;comuna;region;dia_respuesta
a2783;17639;12423;1;128;2021-02-23 00:00:00.000000;480784;9;10;Locales;De 46 a 60 años;22614;Ñuñoa;Metropolitana;01-03-2021
a2783;50042;35069;1;128;2021-04-24 00:00:00.000000;505669;10;10;Locales;De 46 a 60 años;6714;Ñuñoa;Metropolitana;29-04-2021
a2783;449;159;1;128;2021-05-06 00:00:00.000000;508850;10;10;Locales;De 46 a 60 años;6714;Ñuñoa;Metropolitana;07-05-2021
a2783;13286;10715;1;586;2021-09-10 00:00:00.000000;583417;8;9;Locales;De 46 a 60 años;20299;Ñuñoa;Metropolitana;11-09-2021
a2784;160159;122992;1;56;2023-02-13 00:00:00.000000;859103;7;10;Locales;De 46 a 60 años;10978;vitacura;Metropolitana;16-02-2023
a2784;4158;1936;1;154;2022-08-05 00:00:00.000000;759028;7;8;Locales;Sin registro;15222;vitacura;Metropolitana;06-08-2022
a2785;53100;84902;1;146;2021-04-10 00:00:00.000000;495100;10;10;Locales;De 46 a 60 años;12325;peñalolen;Metropolitana;12-04-2021
a2786;21005;61179;1;460;2021-07-05 00:00:00.000000;549720;1;5;Locales;De 46 a 60 años;19293;las condes;Metropolitana;10-07-2021
a2787;16487;10200;1;;2021-03-30 00:00:00.000000;489786;5;;Compra TelefÃ³nica;De 46 a 60 años;11441;las condes;Metropolitana;31-03-2021
a2788;158399;115300;1;382;2023-02-09 00:00:00.000000;855950;10;10;Locales;De 46 a 60 años;371;viña del mar;V Valparaiso;10-02-2023
a2789;2422;13965;1;467;2022-09-01 00:00:00.000000;772332;10;10;Locales;De 46 a 60 años;23372;Ñuñoa;Metropolitana;02-09-2022
a2789;24091;72477;1;539;2022-09-10 00:00:00.000000;779006;10;10;Locales;De 46 a 60 años;2102;la reina;Metropolitana;16-09-2022
a2789;13398;55900;1;539;2023-01-03 00:00:00.000000;838898;10;10;Locales;De 46 a 60 años;10836;la reina;Metropolitana;08-01-2023
a2789;28426;16552;1;630;2023-02-10 00:00:00.000000;856737;10;10;Locales;De 46 a 60 años;18927;providencia;Metropolitana;12-02-2023
a2790;24070;11825;1;495;2021-11-30 00:00:00.000000;625404;5;7;Locales;De 46 a 60 años;5941;panguipulli;XIV Los Rios;06-12-2021
a2791;80606;47082;1;477;2022-05-18 00:00:00.000000;715089;10;10;Locales;De 46 a 60 años;16311;providencia;Metropolitana;28-05-2022
a2792;12634;7284;1;262;2021-11-05 00:00:00.000000;612775;10;10;Locales;De 46 a 60 años;15947;la reina;Metropolitana;10-11-2021
a2793;3798;290;1;761;2022-04-04 00:00:00.000000;688916;10;10;Locales;De 46 a 60 años;25208;lo barnechea;Metropolitana;09-04-2022
a2793;59935;29834;1;761;2022-09-02 00:00:00.000000;772601;5;3;Locales;De 46 a 60 años;25208;lo barnechea;Metropolitana;03-09-2022
a2794;8492;7505;1;102;2022-10-08 00:00:00.000000;793095;10;10;Locales;De 46 a 60 años;5884;lo barnechea;Metropolitana;14-10-2022
a2794;1089;607;1;133;2022-05-20 00:00:00.000000;714368;10;10;Locales;De 46 a 60 años;6709;las condes;Metropolitana;26-05-2022
a2794;2959;645;1;278;2022-08-16 00:00:00.000000;766274;10;10;Locales;De 46 a 60 años;14373;lo barnechea;Metropolitana;19-08-2022
a2795;13764;7437;1;91;2022-10-12 00:00:00.000000;794718;8;6;Locales;De 46 a 60 años;21240;independencia;Metropolitana;17-10-2022
